ID,Data,Produto,Categoria,Quantidade,Preco
51,2023-06-28,Boneca Classic,Brinquedos,3,250.58
52,2023-08-27,Liquidificador Turbo,Casa & Cozinha,6,119.57
53,2023-03-15,Tênis Running,Esporte,5,136.65
54,2023-10-21,Garrafa Térmica,Esporte,4,200.33
55,2023-07-21,Camiseta Dry,Esporte,2,110.56
56,2023-07-14,Caixa Bluetooth,Eletrônicos,2,211.71
57,2023-10-07,Camiseta Básica,Moda,5,28.85
58,2023-08-20,Caixa Bluetooth,Eletrônicos,5,440.71
59,2023-01-27,Quebra-Cabeça 500Pç,Brinquedos,6,74.75
60,2023-04-16,Blocos Criativos,Brinquedos,3,43.57
61,2023-03-06,Estojo,Material-Escolar,3,95.88
62,2023-09-26,Jogo De Tabuleiro,Brinquedos,7,56.36
63,2023-01-13,Tênis Running,Esporte,5,92.14
64,2023-03-15,Estojo,Material-Escolar,4,79.24
65,2023-08-07,Bola Oficial,Esporte,2,61.45
66,2023-09-11,Aspirador 900,Casa & Cozinha,3,253.23
67,2023-07-03,Caneta,Material-Escolar,2,44.74
68,2023-11-11,Tênis Running,Esporte,4,86.15
69,2023-12-02,Fone Pro,Eletrônicos,3,951.03
70,2023-02-18,Mochila Fitness,Esporte,3,210.85
71,2023-12-14,Carrinho Rc,Brinquedos,3,84.82
72,2023-08-13,Jogo De Facas,Casa & Cozinha,4,93.73
73,2023-08-21,Garrafa Térmica,Esporte,4,92.10
74,2023-02-04,Mouse Óptico,Eletrônicos,5,313.48
75,2023-08-15,Jogo De Tabuleiro,Brinquedos,4,81.82
76,2023-09-22,Bola Oficial,Esporte,2,114.67
77,2023-07-31,Jogo De Facas,Casa & Cozinha,3,147.71
78,2023-01-31,Jogo De Facas,Casa & Cozinha,1,134.75
79,2023-07-10,Calça Jeans,Moda,3,43.76
80,2023-12-08,Carrinho Rc,Brinquedos,2,58.68
81,2023-09-22,Caderno,Material-Escolar,3,107.79
82,2023-02-20,Camiseta Dry,Esporte,4,60.54
83,2023-12-17,Caixa Bluetooth,Eletrônicos,6,338.99
84,2023-12-16,Carrinho Rc,Brinquedos,7,48.92
85,2023-03-03,Camiseta Básica,Moda,4,95.15
86,2023-10-20,Quebra-Cabeça 500Pç,Brinquedos,2,63.36
87,2023-05-29,Fone Pro,Eletrônicos,1,727.94
88,2023-08-05,Cafeteira X,Casa & Cozinha,4,193.24
89,2023-06-12,Jogo De Tabuleiro,Brinquedos,5,36.41
90,2023-10-13,Quebra-Cabeça 500Pç,Brinquedos,4,119.67
91,2023-12-30,Mochila Fitness,Esporte,5,81.46
92,2023-10-18,Quebra-Cabeça 500Pç,Brinquedos,1,56.59
93,2023-12-06,Lapis,Material-Escolar,6,105.29
94,2023-12-12,Garrafa Térmica,Esporte,3,93.84
95,2023-02-02,Estojo,Material-Escolar,5,140.64
96,2023-04-03,Cafeteira X,Casa & Cozinha,4,101.84
97,2023-09-21,Liquidificador Turbo,Casa & Cozinha,6,110.08
98,2023-08-04,Quebra-Cabeça 500Pç,Brinquedos,4,53.96
99,2023-01-19,Calça Jeans,Moda,4,67.83
100,2023-02-04,Mouse Óptico,Eletrônicos,4,580.16
101,2023-07-09,Jogo De Tabuleiro,Brinquedos,4,116.66
102,2023-08-13,Jogo De Facas,Casa & Cozinha,6,352.70
103,2023-03-03,Carrinho Rc,Brinquedos,6,311.88
104,2023-03-04,Caixa Bluetooth,Eletrônicos,5,161.64
105,2023-02-17,Boneca Classic,Brinquedos,3,83.45
106,2023-07-26,Boneca Classic,Brinquedos,6,39.50
107,2023-01-03,Boneca Classic,Brinquedos,6,50.17
108,2023-07-28,Camiseta Básica,Moda,3,65.68
109,2023-06-23,Camiseta Dry,Esporte,2,70.73
110,2023-06-20,Quebra-Cabeça 500Pç,Brinquedos,5,42.56
111,2023-09-05,Liquidificador Turbo,Casa & Cozinha,4,139.56
112,2023-07-10,Carrinho Rc,Brinquedos,3,38.55
113,2023-09-23,Calça Jeans,Moda,2,137.12
115,2023-12-02,Camiseta Básica,Moda,9,366.72
116,2023-10-19,Tênis Casual,Moda,3,71.82
117,2023-07-08,Caixa Bluetooth,Eletrônicos,4,313.25
119,2023-03-28,Panela Antiaderente,Casa & Cozinha,6,352.02
120,2023-08-07,Teclado Mecânico,Eletrônicos,4,587.27
121,2023-02-20,Camiseta Dry,Esporte,4,139.21
122,2023-12-06,Carrinho Rc,Brinquedos,4,35.66
124,2023-02-13,Bola Oficial,Esporte,3,68.50
125,2023-10-14,Caneta,Material-Escolar,6,81.04
126,2023-02-12,Camiseta Básica,Moda,4,95.15
127,2023-09-21,Caixa Bluetooth,Eletrônicos,5,317.68
128,2023-02-02,Jogo De Tabuleiro,Brinquedos,3,82.31
129,2023-06-28,Bola Oficial,Esporte,1,55.04
130,2023-08-29,Tênis Casual,Moda,3,126.94
131,2023-09-24,Camiseta Básica,Moda,5,165.05
132,2023-06-02,Tênis Casual,Moda,7,67.68
133,2023-12-03,Caixa Bluetooth,Eletrônicos,2,338.99
134,2023-10-10,Camiseta Básica,Moda,7,104.65
135,2023-03-18,Carrinho Rc,Brinquedos,2,58.68
136,2023-09-02,Liquidificador Turbo,Casa & Cozinha,3,65.46
137,2023-09-24,Jaqueta Leve,Moda,3,89.64
138,2023-05-02,Caixa Bluetooth,Eletrônicos,6,353.57
139,2023-09-27,Bola Oficial,Esporte,6,103.25
140,2023-11-24,Tênis Running,Esporte,3,47.53
141,2023-10-26,Estojo,Material-Escolar,7,79.24
142,2023-10-06,Panela Antiaderente,Casa & Cozinha,7,184.46
143,2023-08-20,Liquidificador Turbo,Casa & Cozinha,5,139.30
144,2023-04-09,Garrafa Térmica,Esporte,3,137.12
145,2023-10-18,Caneta,Material-Escolar,6,72.12
146,2023-05-13,Mochila,Material-Escolar,5,88.23
147,2023-07-14,Mouse Óptico,Eletrônicos,3,391.21
148,2023-04-25,Cafeteira X,Casa & Cozinha,2,128.82
149,2023-04-25,Carrinho Rc,Brinquedos,5,62.57
150,2023-02-27,Mouse Óptico,Eletrônicos,5,317.09
151,2023-12-17,Estojo,Material-Escolar,4,34.44
152,2023-02-23,Cafeteira X,Casa & Cozinha,7,190.40
153,2023-02-01,Caneta,Material-Escolar,5,89.97
154,2023-12-08,Liquidificador Turbo,Casa & Cozinha,10,153.01
155,2023-07-22,Garrafa Térmica,Esporte,3,194.00
157,2023-09-27,Fone Pro,Eletrônicos,1,91.79
158,2023-05-20,Tênis Casual,Moda,5,103.20
159,2023-02-16,Boné Snapback,Moda,2,91.48
160,2023-09-24,Quebra-Cabeça 500Pç,Brinquedos,3,88.60
161,2023-03-06,Mochila,Material-Escolar,5,71.43
162,2023-07-21,Camiseta Básica,Moda,3,125.46
163,2023-12-13,Mochila Fitness,Esporte,5,127.91
164,2023-12-08,Garrafa Térmica,Esporte,8,152.85
165,2023-05-12,Bola Oficial,Esporte,4,105.33
166,2023-10-12,Jogo De Tabuleiro,Brinquedos,3,82.31
167,2023-08-12,Liquidificador Turbo,Casa & Cozinha,7,220.36
168,2023-06-24,Aspirador 900,Casa & Cozinha,5,229.32
169,2023-02-21,Bola Oficial,Esporte,4,85.22
170,2023-05-18,Caixa Bluetooth,Eletrônicos,2,176.97
171,2023-08-26,Smartwatch,Eletrônicos,2,449.47
172,2023-12-27,Caixa Bluetooth,Eletrônicos,3,502.75
173,2023-01-02,Boneca Classic,Brinquedos,4,203.84
174,2023-09-19,Boneca Classic,Brinquedos,5,47.29
175,2023-11-05,Blocos Criativos,Brinquedos,7,92.23
176,2023-12-14,Mochila Fitness,Esporte,3,174.36
177,2023-06-04,Jogo De Tabuleiro,Brinquedos,3,82.80
178,2023-02-13,Fone Pro,Eletrônicos,2,153.45
179,2023-04-09,Mochila,Material-Escolar,4,110.73
180,2023-11-07,Camiseta Básica,Moda,7,120.20
181,2023-11-17,Lapis,Material-Escolar,5,94.05
182,2023-08-21,Caixa Bluetooth,Eletrônicos,4,342.25
183,2023-02-14,Tênis Running,Esporte,1,105.44
184,2023-02-14,Blocos Criativos,Brinquedos,4,194.22
185,2023-06-24,Bola Oficial,Esporte,5,76.49
186,2023-08-03,Tênis Running,Esporte,5,89.46
187,2023-01-12,Mouse Óptico,Eletrônicos,1,301.98
188,2023-09-08,Garrafa Térmica,Esporte,4,186.23
189,2023-07-18,Jogo De Facas,Casa & Cozinha,5,70.95
190,2023-01-05,Jogo De Facas,Casa & Cozinha,3,77.90
191,2023-02-04,Jogo De Tabuleiro,Brinquedos,3,23.56
192,2023-06-15,Boné Snapback,Moda,3,91.48
193,2023-09-21,Tênis Casual,Moda,3,51.45
194,2023-10-29,Mochila Fitness,Esporte,2,127.91
195,2023-06-07,Lapis,Material-Escolar,4,94.05
196,2023-04-18,Teclado Mecânico,Eletrônicos,4,204.15
197,2023-12-20,Bola Oficial,Esporte,3,85.22
198,2023-06-17,Mouse Óptico,Eletrônicos,6,250.68
200,2023-06-11,Caneta,Material-Escolar,6,114.13
201,2023-01-05,Bola Oficial,Esporte,4,84.90
202,2023-04-21,Mochila,Material-Escolar,2,82.72
203,2023-07-08,Camiseta Dry,Esporte,5,202.22
204,2023-12-02,Jogo De Tabuleiro,Brinquedos,7,101.30
205,2023-09-27,Tênis Running,Esporte,5,59.68
206,2023-10-13,Aspirador 900,Casa & Cozinha,2,208.19
207,2023-07-18,Boneca Classic,Brinquedos,3,41.73
208,2023-02-10,Lapis,Material-Escolar,4,182.38
209,2023-05-23,Panela Antiaderente,Casa & Cozinha,5,250.31
210,2023-12-30,Carrinho Rc,Brinquedos,5,95.20
211,2023-01-17,Cafeteira X,Casa & Cozinha,1,115.90
212,2023-11-17,Blocos Criativos,Brinquedos,3,92.23
213,2023-09-07,Carrinho Rc,Brinquedos,5,120.20
214,2023-04-14,Camiseta Dry,Esporte,5,99.69
215,2023-10-11,Jogo De Tabuleiro,Brinquedos,4,92.15
216,2023-11-02,Liquidificador Turbo,Casa & Cozinha,5,231.97
217,2023-01-16,Caixa Bluetooth,Eletrônicos,3,214.15
218,2023-02-08,Fone Pro,Eletrônicos,5,207.28
219,2023-08-31,Bola Oficial,Esporte,2,66.04
220,2023-12-31,Caneta,Material-Escolar,6,52.86
221,2023-01-09,Mouse Óptico,Eletrônicos,4,301.98
222,2023-08-31,Bola Oficial,Esporte,4,172.85
223,2023-02-19,Quebra-Cabeça 500Pç,Brinquedos,3,236.84
224,2023-08-26,Cafeteira X,Casa & Cozinha,2,305.91
225,2023-08-16,Carrinho Rc,Brinquedos,2,30.16
226,2023-02-03,Panela Antiaderente,Casa & Cozinha,5,184.46
227,2023-09-06,Jogo De Tabuleiro,Brinquedos,6,187.78
228,2023-11-24,Camiseta Básica,Moda,4,71.62
229,2023-11-12,Boné Snapback,Moda,4,94.68
230,2023-01-11,Cafeteira X,Casa & Cozinha,4,54.96
231,2023-03-31,Garrafa Térmica,Esporte,5,137.12
232,2023-03-29,Caderno,Material-Escolar,3,52.88
233,2023-06-15,Fone Pro,Eletrônicos,4,338.17
234,2023-02-22,Carrinho Rc,Brinquedos,5,31.35
235,2023-11-08,Bola Oficial,Esporte,7,157.42
236,2023-10-11,Quebra-Cabeça 500Pç,Brinquedos,7,147.93
237,2023-10-23,Jaqueta Leve,Moda,2,60.84
238,2023-03-14,Bola Oficial,Esporte,3,67.97
239,2023-01-06,Aspirador 900,Casa & Cozinha,2,51.04
240,2023-11-29,Camiseta Básica,Moda,4,78.78
241,2023-04-16,Smartwatch,Eletrônicos,5,362.54
242,2023-08-28,Camiseta Básica,Moda,2,41.44
243,2023-11-28,Fone Pro,Eletrônicos,6,393.70
244,2023-01-14,Camiseta Básica,Moda,6,71.87
245,2023-01-02,Boné Snapback,Moda,4,91.48
246,2023-01-02,Fone Pro,Eletrônicos,4,215.09
247,2023-02-27,Boneca Classic,Brinquedos,4,152.14
248,2023-01-19,Garrafa Térmica,Esporte,4,162.22
249,2023-10-27,Boneca Classic,Brinquedos,4,74.00
250,2023-08-10,Smartwatch,Eletrônicos,5,434.96
251,2023-12-24,Cafeteira X,Casa & Cozinha,3,83.95
252,2023-10-20,Tênis Running,Esporte,2,121.96
253,2023-12-18,Cafeteira X,Casa & Cozinha,5,161.47
254,2023-03-29,Panela Antiaderente,Casa & Cozinha,8,118.60
255,2023-04-16,Camiseta Básica,Moda,7,111.89
256,2023-11-07,Teclado Mecânico,Eletrônicos,4,187.83
257,2023-03-31,Blocos Criativos,Brinquedos,4,108.63
258,2023-01-21,Caixa Bluetooth,Eletrônicos,4,417.76
259,2023-09-02,Jogo De Facas,Casa & Cozinha,3,34.88
260,2023-10-20,Boné Snapback,Moda,5,163.20
261,2023-12-20,Boneca Classic,Brinquedos,4,15.00
262,2023-12-05,Liquidificador Turbo,Casa & Cozinha,3,110.23
263,2023-02-13,Aspirador 900,Casa & Cozinha,2,250.46
264,2023-10-09,Caderno,Material-Escolar,7,76.80
265,2023-11-05,Estojo,Material-Escolar,4,79.24
266,2023-09-12,Calça Jeans,Moda,4,52.09
267,2023-10-27,Tênis Running,Esporte,3,200.53
268,2023-11-02,Bola Oficial,Esporte,6,45.91
269,2023-06-12,Tênis Casual,Moda,8,67.68
270,2023-01-15,Jaqueta Leve,Moda,1,87.55
271,2023-06-16,Cafeteira X,Casa & Cozinha,5,82.64
272,2023-03-15,Teclado Mecânico,Eletrônicos,3,204.15
273,2023-02-11,Mouse Óptico,Eletrônicos,8,162.95
274,2023-02-15,Caderno,Material-Escolar,5,138.78
275,2023-09-12,Bola Oficial,Esporte,2,173.07
276,2023-07-04,Tênis Running,Esporte,3,50.80
277,2023-07-17,Camiseta Dry,Esporte,4,98.07
278,2023-09-29,Boneca Classic,Brinquedos,4,47.66
279,2023-07-20,Caixa Bluetooth,Eletrônicos,4,651.90
280,2023-08-18,Fone Pro,Eletrônicos,4,133.45
281,2023-02-01,Liquidificador Turbo,Casa & Cozinha,5,334.54
282,2023-11-07,Camiseta Dry,Esporte,2,118.02
283,2023-06-13,Quebra-Cabeça 500Pç,Brinquedos,3,39.84
285,2023-10-24,Garrafa Térmica,Esporte,4,80.37
286,2023-09-26,Estojo,Material-Escolar,3,47.58
287,2023-01-20,Smartwatch,Eletrônicos,6,317.56
288,2023-03-12,Camiseta Básica,Moda,5,48.71
289,2023-01-06,Boné Snapback,Moda,3,30.25
290,2023-04-09,Bola Oficial,Esporte,6,99.25
291,2023-02-06,Jogo De Tabuleiro,Brinquedos,3,27.12
292,2023-09-17,Cafeteira X,Casa & Cozinha,5,102.98
293,2023-07-10,Lapis,Material-Escolar,1,57.13
294,2023-12-24,Cafeteira X,Casa & Cozinha,4,115.90
295,2023-10-01,Camiseta Básica,Moda,5,244.76
296,2023-08-12,Boné Snapback,Moda,5,92.57
297,2023-07-05,Caneta,Material-Escolar,10,101.75
298,2023-01-20,Mochila Fitness,Esporte,2,49.37
299,2023-01-26,Jogo De Facas,Casa & Cozinha,4,108.16
300,2023-08-13,Smartwatch,Eletrônicos,6,341.37
